y1;y2;y3;y4;y5;y6;kategori
121;22;74;223;54;254;0
108;30;80;175;40;300;0
122;49;87;266;41;223;0
77;37;66;178;80;209;0
140;35;71;175;38;261;0
108;37;57;241;59;245;0
124;39;52;194;72;242;0
130;34;89;200;85;242;0
149;55;91;198;50;277;0
129;38;72;162;47;268;0
154;37;87;170;60;244;0
145;33;88;208;51;228;0
112;40;60;232;29;279;0
120;39;73;159;39;233;0
118;21;83;152;88;233;0
141;42;80;195;36;241;0
135;49;73;152;42;249;0
151;37;76;223;74;268;0
97;46;83;164;31;243;0
109;42;82;188;57;267;0
132;17;77;232;50;249;1
123;32;79;192;64;315;1
129;31;96;250;55;319;1
131;23;67;291;48;310;1
110;24;96;239;42;268;1
47;22;87;231;40;217;1
125;32;87;227;30;324;1
129;29;102;234;58;300;1
130;26;104;256;58;270;1
147;47;82;240;30;322;1
159;37;80;227;58;317;1
135;41;83;216;39;306;1
100;35;83;183;57;242;1
149;37;94;227;30;240;1
149;38;78;258;42;271;1
153;27;89;283;66;291;1
136;31;83;257;31;311;1
97;36;100;252;30;225;1
141;37;105;250;27;243;1
164;32;76;187;30;264;1
